Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,,
2014-01-02 00:00:00+00:00,6221.15,6221.15,6358.3,6211.3,6301.25,158100
2014-01-03 00:00:00+00:00,6211.15,6211.15,6221.7,6171.25,6194.55,139000
2014-01-06 00:00:00+00:00,6191.45,6191.45,6224.7,6170.25,6220.85,118300
2014-01-07 00:00:00+00:00,6162.25,6162.25,6221.5,6144.75,6203.9,138600
2014-01-08 00:00:00+00:00,6174.6,6174.6,6192.1,6160.35,6178.05,146900
2014-01-09 00:00:00+00:00,6168.35,6168.35,6188.05,6148.25,6181.7,150100
2014-01-10 00:00:00+00:00,6171.45,6171.45,6239.1,6139.6,6178.85,159900
2014-01-13 00:00:00+00:00,6272.75,6272.75,6288.2,6189.55,6189.55,135000
2014-01-14 00:00:00+00:00,6241.85,6241.85,6280.35,6234.15,6260.25,110200
2014-01-15 00:00:00+00:00,6320.9,6320.9,6325.2,6265.3,6265.95,145900
2014-01-16 00:00:00+00:00,6318.9,6318.9,6346.5,6299.85,6341.35,153400
2014-01-17 00:00:00+00:00,6261.65,6261.65,6327.1,6246.35,6306.25,167700
2014-01-20 00:00:00+00:00,6303.95,6303.95,6307.45,6243.35,6261.75,122100
2014-01-21 00:00:00+00:00,6313.8,6313.8,6330.3,6297.9,6320.15,141700
2014-01-22 00:00:00+00:00,6338.95,6338.95,6349.95,6287.45,6309.05,137500
2014-01-23 00:00:00+00:00,6345.65,6345.65,6355.6,6316.4,6325.95,120100
2014-01-24 00:00:00+00:00,6266.75,6266.75,6331.45,6263.9,6301.65,160300
2014-01-27 00:00:00+00:00,6135.85,6135.85,6188.55,6130.25,6186.3,190400
2014-01-28 00:00:00+00:00,6126.25,6126.25,6163.6,6085.95,6131.85,184100
2014-01-29 00:00:00+00:00,6120.25,6120.25,6170.45,6109.8,6161,146700
2014-01-30 00:00:00+00:00,6073.7,6073.7,6082.85,6027.25,6067,208100
2014-01-31 00:00:00+00:00,6089.5,6089.5,6097.85,6067.35,6082.75,146700
2014-02-03 00:00:00+00:00,6001.8,6001.8,6074.85,5994.45,6058.8,134900
2014-02-04 00:00:00+00:00,6000.9,6000.9,6017.8,5933.3,5947.6,183300
2014-02-05 00:00:00+00:00,6022.4,6022.4,6028.05,5962.05,6004.25,166600
2014-02-06 00:00:00+00:00,6036.3,6036.3,6048.35,5965.4,6028.35,185500
2014-02-07 00:00:00+00:00,6063.2,6063.2,6079.95,6030.9,6077.65,181900
2014-02-10 00:00:00+00:00,6053.45,6053.45,6083.05,6046.4,6072.8,133100
2014-02-11 00:00:00+00:00,6062.7,6062.7,6081.85,6053.25,6072.45,150500
2014-02-12 00:00:00+00:00,6084,6084,6106.6,6077.4,6085.35,138500
2014-02-13 00:00:00+00:00,6001.1,6001.1,6094.4,5991.1,6087.55,153700
2014-02-14 00:00:00+00:00,6048.35,6048.35,6056.4,5984.6,6023.75,140200
2014-02-18 00:00:00+00:00,6127.1,6127.1,6141.7,6066.8,6071.3,126600
2014-02-19 00:00:00+00:00,6152.75,6152.75,6160.35,6125.75,6132.05,95200
2014-02-20 00:00:00+00:00,6091.45,6091.45,6129.1,6086.45,6127.15,132100
2014-02-21 00:00:00+00:00,6155.45,6155.45,6159.65,6108,6108.3,112600
2014-02-24 00:00:00+00:00,6186.1,6186.1,6191.85,6130.8,6140.95,144900
2014-02-25 00:00:00+00:00,6200.05,6200.05,6216.85,6176.6,6205.7,146300
2014-02-26 00:00:00+00:00,6238.8,6238.8,6245.95,6202.1,6202.45,181700
2014-02-28 00:00:00+00:00,6276.95,6276.95,6282.7,6228.1,6228.45,180600
2014-03-03 00:00:00+00:00,6221.45,6221.45,6277.75,6212.25,6264.35,144600
2014-03-04 00:00:00+00:00,6297.95,6297.95,6302.15,6215.7,6216.75,166800
2014-03-05 00:00:00+00:00,6328.65,6328.65,6336.25,6287.8,6328.45,160300
2014-03-06 00:00:00+00:00,6401.15,6401.15,6406.6,6339.7,6344.75,180700
2014-03-07 00:00:00+00:00,6526.65,6526.65,6537.8,6413.55,6413.95,284900
2014-03-10 00:00:00+00:00,6537.25,6537.25,6562.2,6487.35,6491.7,242100
2014-03-11 00:00:00+00:00,6511.9,6511.9,6562.85,6494.25,6537.35,239000
2014-03-12 00:00:00+00:00,6516.9,6516.9,6546.15,6487.3,6497.5,175000
2014-03-13 00:00:00+00:00,6493.1,6493.1,6561.45,6476.65,6491.75,167900
2014-03-14 00:00:00+00:00,6504.2,6504.2,6518.45,6432.7,6447.25,177300
2014-03-18 00:00:00+00:00,6516.65,6516.65,6574.95,6497.65,6532.45,179300
2014-03-19 00:00:00+00:00,6524.05,6524.05,6541.2,6506,6530,172500
2014-03-20 00:00:00+00:00,6483.1,6483.1,6523.65,6473.25,6508.35,142000
2014-03-21 00:00:00+00:00,6493.2,6493.2,6522.9,6485.7,6515.2,189900
2014-03-24 00:00:00+00:00,6583.5,6583.5,6591.5,6510.5,6510.5,158400
2014-03-25 00:00:00+00:00,6589.75,6589.75,6595.55,6544.85,6550.1,168100
2014-03-26 00:00:00+00:00,6601.4,6601.4,6627.45,6580.6,6615.65,186600
2014-03-27 00:00:00+00:00,6641.75,6641.75,6673.95,6599.5,6613.1,312400
2014-03-28 00:00:00+00:00,6695.9,6695.9,6702.6,6643.8,6673.05,184800
2014-03-31 00:00:00+00:00,6704.2,6704.2,6730.05,6662.4,6723.15,220600
